qpu_sampling_time
217.700 ms
qpu_anneal_time_per_sample
20 µs
qpu_readout_time_per_sample
177 µs
qpu_access_time
233.462 ms
qpu_access_overhead_time
7.964 ms
qpu_programming_time
15.762 ms
qpu_delay_time_per_sample
21 µs
total_post_processing_time
5.255 ms
post_processing_overhead_time
280 µs
5760 9336
337 337 0
456 456 0
457 457 0
471 471 0
472 472 0
486 486 0
487 487 0
501 501 0
502 502 0
517 517 0
518 518 0
531 531 0
532 532 0
533 533 0
546 546 0
547 547 0
562 562 0
563 563 0
576 576 0
577 577 0
578 578 0
591 591 0
592 592 0
593 593 0
594 594 0
606 606 0
607 607 0
608 608 0
609 609 0
621 621 0
622 622 0
623 623 0
636 636 0
637 637 0
638 638 0
639 639 0
651 651 0
652 652 0
653 653 0
666 666 0
667 667 0
668 668 0
681 681 0
682 682 0
683 683 0
696 696 0
697 697 0
698 698 0
699 699 0
700 700 0
711 711 0
712 712 0
713 713 0
714 714 0
715 715 0
726 726 0
727 727 0
728 728 0
741 741 0
742 742 0
743 743 0
744 744 0
745 745 0
756 756 0
757 757 0
758 758 0
759 759 0
771 771 0
772 772 0
773 773 0
774 774 0
775 775 0
786 786 0
787 787 0
788 788 0
800 800 0
801 801 0
802 802 0
803 803 0
804 804 0
815 815 0
816 816 0
817 817 0
818 818 0
819 819 0
820 820 0
821 821 0
830 830 0
831 831 0
832 832 0
833 833 0
834 834 0
835 835 0
836 836 0
837 837 0
845 845 0
846 846 0
847 847 0
848 848 0
849 849 0
850 850 0
851 851 0
860 860 0
861 861 0
862 862 0
863 863 0
864 864 0
865 865 0
866 866 0
875 875 0
876 876 0
877 877 0
878 878 0
879 879 0
880 880 0
881 881 0
882 882 0
890 890 0
891 891 0
892 892 0
893 893 0
894 894 0
895 895 0
896 896 0
906 906 0
907 907 0
908 908 0
909 909 0
910 910 0
911 911 0
921 921 0
922 922 0
923 923 0
924 924 0
925 925 0
926 926 0
927 927 0
936 936 0
937 937 0
938 938 0
939 939 0
940 940 0
941 941 0
942 942 0
943 943 0
950 950 0
951 951 0
952 952 0
953 953 0
954 954 0
955 955 0
956 956 0
957 957 0
958 958 0
965 965 0
966 966 0
967 967 0
968 968 0
969 969 0
970 970 0
971 971 0
972 972 0
973 973 0
980 980 0
981 981 0
982 982 0
983 983 0
984 984 0
985 985 0
986 986 0
994 994 0
995 995 0
996 996 0
997 997 0
998 998 0
999 999 0
1000 1000 0
1001 1001 0
1002 1002 0
1003 1003 0
1009 1009 0
1010 1010 0
1011 1011 0
1012 1012 0
1013 1013 0
1014 1014 0
1015 1015 0
1016 1016 0
1017 1017 0
1018 1018 0
1024 1024 0
1025 1025 0
1026 1026 0
1027 1027 0
1028 1028 0
1029 1029 0
1030 1030 0
1031 1031 0
1032 1032 0
1033 1033 0
1040 1040 0
1041 1041 0
1042 1042 0
1043 1043 0
1044 1044 0
1045 1045 0
1046 1046 0
1047 1047 0
1048 1048 0
1055 1055 0
1056 1056 0
1057 1057 0
1058 1058 0
1059 1059 0
1060 1060 0
1061 1061 0
1062 1062 0
1063 1063 0
1070 1070 0
1071 1071 0
1072 1072 0
1073 1073 0
1074 1074 0
1075 1075 0
1076 1076 0
1077 1077 0
1078 1078 0
1085 1085 0
1086 1086 0
1087 1087 0
1088 1088 0
1089 1089 0
1090 1090 0
1091 1091 0
1092 1092 0
1093 1093 0
1094 1094 0
1100 1100 0
1101 1101 0
1102 1102 0
1103 1103 0
1104 1104 0
1105 1105 0
1106 1106 0
1107 1107 0
1108 1108 0
1115 1115 0
1116 1116 0
1117 1117 0
1118 1118 0
1119 1119 0
1120 1120 0
1121 1121 0
1122 1122 0
1123 1123 0
1124 1124 0
1130 1130 0
1131 1131 0
1132 1132 0
1133 1133 0
1134 1134 0
1135 1135 0
1136 1136 0
1137 1137 0
1138 1138 0
1145 1145 0
1146 1146 0
1147 1147 0
1148 1148 0
1149 1149 0
1150 1150 0
1151 1151 0
1152 1152 0
1153 1153 0
1160 1160 0
1161 1161 0
1162 1162 0
1163 1163 0
1164 1164 0
1165 1165 0
1166 1166 0
1167 1167 0
1175 1175 0
1176 1176 0
1177 1177 0
1178 1178 0
1179 1179 0
1180 1180 0
1181 1181 0
1182 1182 0
1189 1189 0
1190 1190 0
1191 1191 0
1192 1192 0
1193 1193 0
1194 1194 0
1195 1195 0
1196 1196 0
1197 1197 0
1198 1198 0
1206 1206 0
1207 1207 0
1208 1208 0
1209 1209 0
1211 1211 0
1212 1212 0
1213 1213 0
1220 1220 0
1221 1221 0
1222 1222 0
1223 1223 0
1224 1224 0
1225 1225 0
1226 1226 0
1227 1227 0
1228 1228 0
1235 1235 0
1236 1236 0
1237 1237 0
1238 1238 0
1239 1239 0
1240 1240 0
1251 1251 0
1252 1252 0
1253 1253 0
1254 1254 0
1266 1266 0
1267 1267 0
1268 1268 0
1269 1269 0
1270 1270 0
1271 1271 0
1272 1272 0
1273 1273 0
1280 1280 0
1281 1281 0
1282 1282 0
1283 1283 0
1284 1284 0
1285 1285 0
1286 1286 0
1287 1287 0
1288 1288 0
1296 1296 0
1297 1297 0
1298 1298 0
1299 1299 0
1300 1300 0
1301 1301 0
1302 1302 0
1303 1303 0
1311 1311 0
1312 1312 0
1313 1313 0
1314 1314 0
1315 1315 0
1316 1316 0
1317 1317 0
1318 1318 0
1325 1325 0
1326 1326 0
1327 1327 0
1328 1328 0
1329 1329 0
1330 1330 0
1331 1331 0
1332 1332 0
1340 1340 0
1341 1341 0
1342 1342 0
1343 1343 0
1344 1344 0
1345 1345 0
1346 1346 0
1347 1347 0
1355 1355 0
1356 1356 0
1357 1357 0
1358 1358 0
1359 1359 0
1360 1360 0
1361 1361 0
1362 1362 0
1370 1370 0
1371 1371 0
1372 1372 0
1373 1373 0
1374 1374 0
1375 1375 0
1376 1376 0
1377 1377 0
1385 1385 0
1386 1386 0
1387 1387 0
1388 1388 0
1389 1389 0
1390 1390 0
1391 1391 0
1392 1392 0
1393 1393 0
1400 1400 0
1401 1401 0
1402 1402 0
1403 1403 0
1404 1404 0
1405 1405 0
1406 1406 0
1407 1407 0
1415 1415 0
1416 1416 0
1417 1417 0
1418 1418 0
1419 1419 0
1420 1420 0
1421 1421 0
1422 1422 0
1430 1430 0
1431 1431 0
1432 1432 0
1433 1433 0
1434 1434 0
1435 1435 0
1436 1436 0
1437 1437 0
1446 1446 0
1447 1447 0
1448 1448 0
1449 1449 0
1450 1450 0
1451 1451 0
1452 1452 0
1453 1453 0
1461 1461 0
1462 1462 0
1463 1463 0
1464 1464 0
1465 1465 0
1466 1466 0
1467 1467 0
1468 1468 0
1476 1476 0
1477 1477 0
1478 1478 0
1479 1479 0
1480 1480 0
1481 1481 0
1482 1482 0
1491 1491 0
1492 1492 0
1493 1493 0
1494 1494 0
1495 1495 0
1496 1496 0
1497 1497 0
1498 1498 0
1505 1505 0
1506 1506 0
1507 1507 0
1508 1508 0
1509 1509 0
1510 1510 0
1511 1511 0
1520 1520 0
1521 1521 0
1522 1522 0
1523 1523 0
1524 1524 0
1525 1525 0
1526 1526 0
1535 1535 0
1536 1536 0
1537 1537 0
1538 1538 0
1539 1539 0
1540 1540 0
1541 1541 0
1550 1550 0
1551 1551 0
1552 1552 0
1553 1553 0
1554 1554 0
1555 1555 0
1565 1565 0
1566 1566 0
1567 1567 0
1568 1568 0
1569 1569 0
1570 1570 0
1571 1571 0
1580 1580 0
1581 1581 0
1582 1582 0
1583 1583 0
1584 1584 0
1585 1585 0
1586 1586 0
1595 1595 0
1596 1596 0
1597 1597 0
1598 1598 0
1599 1599 0
1600 1600 0
1610 1610 0
1611 1611 0
1612 1612 0
1613 1613 0
1614 1614 0
1615 1615 0
1626 1626 0
1627 1627 0
1628 1628 0
1629 1629 0
1630 1630 0
1631 1631 0
1632 1632 0
1633 1633 0
1641 1641 0
1642 1642 0
1643 1643 0
1644 1644 0
1645 1645 0
1646 1646 0
1647 1647 0
1656 1656 0
1657 1657 0
1658 1658 0
1659 1659 0
1660 1660 0
1671 1671 0
1672 1672 0
1673 1673 0
1674 1674 0
1675 1675 0
1676 1676 0
1685 1685 0
1686 1686 0
1687 1687 0
1688 1688 0
1689 1689 0
1700 1700 0
1701 1701 0
1702 1702 0
1703 1703 0
1704 1704 0
1715 1715 0
1716 1716 0
1717 1717 0
1718 1718 0
1719 1719 0
1730 1730 0
1731 1731 0
1732 1732 0
1733 1733 0
1734 1734 0
1736 1736 0
1746 1746 0
1747 1747 0
1748 1748 0
1749 1749 0
1750 1750 0
1761 1761 0
1762 1762 0
1763 1763 0
1776 1776 0
1777 1777 0
1778 1778 0
1779 1779 0
1780 1780 0
1791 1791 0
1792 1792 0
1793 1793 0
1806 1806 0
1807 1807 0
1808 1808 0
1809 1809 0
1810 1810 0
1821 1821 0
1822 1822 0
1823 1823 0
1837 1837 0
1838 1838 0
1839 1839 0
1851 1851 0
1852 1852 0
1853 1853 0
1866 1866 0
1867 1867 0
1868 1868 0
1881 1881 0
1882 1882 0
1883 1883 0
1896 1896 0
1897 1897 0
1898 1898 0
1899 1899 0
1911 1911 0
1912 1912 0
1926 1926 0
1927 1927 0
1928 1928 0
1941 1941 0
1942 1942 0
1943 1943 0
1956 1956 0
1957 1957 0
1972 1972 0
1973 1973 0
1987 1987 0
2001 2001 0
2002 2002 0
2003 2003 0
2017 2017 0
2018 2018 0
2032 2032 0
2047 2047 0
2062 2062 0
3815 3815 0
3830 3830 0
3831 3831 0
3860 3860 0
3861 3861 0
3875 3875 0
3876 3876 0
3890 3890 0
3891 3891 0
3904 3904 0
