5760 2279
813 813 0
814 814 0
829 829 0
859 859 0
874 874 0
875 875 0
904 904 0
905 905 0
919 919 0
920 920 0
934 934 0
935 935 0
948 948 0
949 949 0
950 950 0
964 964 0
978 978 0
979 979 0
980 980 0
992 992 0
993 993 0
994 994 0
995 995 0
1007 1007 0
1008 1008 0
1009 1009 0
1010 1010 0
1022 1022 0
1023 1023 0
1024 1024 0
1025 1025 0
1026 1026 0
1037 1037 0
1038 1038 0
1039 1039 0
1040 1040 0
1041 1041 0
1052 1052 0
1053 1053 0
1054 1054 0
1055 1055 0
1056 1056 0
1067 1067 0
1068 1068 0
1069 1069 0
1070 1070 0
1071 1071 0
1083 1083 0
1084 1084 0
1085 1085 0
1086 1086 0
1097 1097 0
1098 1098 0
1099 1099 0
1100 1100 0
1101 1101 0
1112 1112 0
1113 1113 0
1114 1114 0
1115 1115 0
1116 1116 0
1127 1127 0
1128 1128 0
1129 1129 0
1130 1130 0
1131 1131 0
1142 1142 0
1143 1143 0
1144 1144 0
1145 1145 0
1146 1146 0
1157 1157 0
1158 1158 0
1159 1159 0
1160 1160 0
1171 1171 0
1172 1172 0
1173 1173 0
1174 1174 0
1175 1175 0
1187 1187 0
1188 1188 0
1189 1189 0
1190 1190 0
1202 1202 0
1203 1203 0
1204 1204 0
1205 1205 0
1206 1206 0
1217 1217 0
1218 1218 0
1219 1219 0
1220 1220 0
1221 1221 0
1233 1233 0
1234 1234 0
1235 1235 0
1248 1248 0
1249 1249 0
1250 1250 0
1263 1263 0
1264 1264 0
1265 1265 0
1266 1266 0
1278 1278 0
1279 1279 0
1280 1280 0
1281 1281 0
1293 1293 0
1294 1294 0
1295 1295 0
1308 1308 0
1309 1309 0
1310 1310 0
1311 1311 0
1324 1324 0
1325 1325 0
1339 1339 0
1340 1340 0
1353 1353 0
1354 1354 0
1355 1355 0
1368 1368 0
1369 1369 0
1370 1370 0
1383 1383 0
1384 1384 0
1385 1385 0
1398 1398 0
1399 1399 0
1400 1400 0
1413 1413 0
1414 1414 0
1415 1415 0
1429 1429 0
1444 1444 0
1445 1445 0
1446 1446 0
1459 1459 0
1460 1460 0
1461 1461 0
1474 1474 0
1475 1475 0
1476 1476 0
1488 1488 0
